date,ticker,Open,High,Low,Close,Volume,Middle_Band,Std_Dev,Upper_Band,Lower_Band,Avg_Volume,long_signal,short_signal,long_entry,short_entry,entry_price,exit_price,position,PnL
2020/5/19,ABBV,91.26000214,91.65000153,89.55999756,91.19999695,9892500,85.73650017,3.508552493,92.75360515,78.71939518,13127385,FALSE,FALSE,FALSE,FALSE,,91.26000214,0,-1.260002136
2020/8/10,ABBV,92.62999725,93.66999817,92.15000153,92.37999725,7623600,96.65300064,2.616893323,101.8867873,91.41921399,6535975,FALSE,FALSE,FALSE,FALSE,,92.62999725,0,-2.560005188
2020/11/3,ABBV,89.13999939,89.38999939,87.43000031,87.95999908,8518800,85.25149879,2.393670213,90.03883922,80.46415837,8088720,FALSE,FALSE,FALSE,FALSE,,89.13999939,0,8.63999939
2020/11/12,ABBV,97.5,97.75,96.27999878,97.59999847,7646600,88.31249924,6.101158092,100.5148154,76.11018305,9920025,FALSE,FALSE,FALSE,FALSE,,97.5,0,-2.13999939
2021/6/7,ABBV,112.7099991,114.1100006,112.3300018,113.0100021,5570100,114.7079998,1.923250092,118.5545,110.8614996,7278770,FALSE,FALSE,FALSE,FALSE,,112.7099991,0,-0.620002747
2021/9/15,ABBV,106.5899963,108.8000031,106.0299988,107.7699966,7444300,114.2895,5.611473944,125.5124479,103.0665522,9085560,FALSE,FALSE,FALSE,FALSE,,106.5899963,0,-1.470001221
2021/11/8,ABBV,117.1999969,117.4499969,115.7799988,116.0599976,7015000,111.3234997,3.817630443,118.9587606,103.6882388,6444055,FALSE,FALSE,FALSE,FALSE,,117.1999969,0,-1.949996948
2021/12/14,ABBV,125.6999969,127.8499985,125.3799973,127.2900009,6381400,119.4365005,3.841795948,127.1200924,111.7529087,6024815,FALSE,FALSE,FALSE,FALSE,,125.6999969,0,-3.719993591
2021/12/23,ABBV,132.3300018,133.7700043,132.1699982,133.0899963,5702300,124.2975002,6.158476243,136.6144527,111.9805477,7132970,FALSE,FALSE,FALSE,FALSE,,132.3300018,0,-2.229995728
2022/5/9,ABBV,151.6199951,153.5399933,148.9299927,150.9600067,6969000,156.132,5.845343555,167.8226871,144.4413129,8889600,FALSE,FALSE,FALSE,FALSE,,151.6199951,0,4.970001221
2022/8/8,ABBV,138.0399933,140.8000031,137.7700043,140.3399963,4854600,146.8249992,5.151526679,157.1280526,136.5219459,6135565,FALSE,FALSE,FALSE,FALSE,,138.0399933,0,-3.470001221
2022/10/5,ABBV,141.4700012,144.4700012,141.1100006,143.3300018,4777900,141.3870018,2.373989507,146.1349808,136.6390228,6365515,FALSE,FALSE,FALSE,FALSE,,141.4700012,0,5.589996338
2023/1/25,ABBV,147.3800049,147.9799957,146.5,147.7899933,5744300,156.7075012,6.603815415,169.9151321,143.4998704,5640200,FALSE,FALSE,FALSE,FALSE,,147.3800049,0,-4.739990234
2023/5/5,ABBV,148.5399933,149.3800049,147.1399994,148.0299988,4447700,157.8084999,6.11173536,170.0319706,145.5850292,5381855,FALSE,FALSE,FALSE,FALSE,,148.5399933,0,0.569992065
2023/6/6,ABBV,137.4700012,137.5399933,134.6300049,135.4299927,4359900,141.5259987,4.467507179,150.461013,132.5909843,5813445,FALSE,FALSE,FALSE,FALSE,,137.4700012,0,1.979995728
2023/8/4,ABBV,148.9700012,150.5700073,147.1600037,147.7299957,4231200,142.0175003,6.156516448,154.3305332,129.7044674,5819530,FALSE,FALSE,FALSE,FALSE,,148.9700012,0,0.949996948
2023/9/22,ABBV,153.8999939,153.8999939,152.5200043,152.7400055,3049200,149.863501,2.860653289,155.5848076,144.1421944,4078670,FALSE,FALSE,FALSE,FALSE,,153.8999939,0,-1.119995117
2023/11/6,ABBV,141.8899994,142.3699951,140.9799957,141.1999969,4377000,145.1889977,3.204790116,151.5985779,138.7794174,5278950,FALSE,FALSE,FALSE,FALSE,,141.8899994,0,1.220001221
2023/12/21,ABBV,152.0500031,152.9100037,151.2899933,152.5899963,4036100,147.574501,6.033876633,159.6422543,135.5067478,6021315,FALSE,FALSE,FALSE,FALSE,,152.0500031,0,2.309997559
2024/2/12,ABBV,173.5399933,174.7599945,172.2299957,173.0700073,3477100,167.4609985,4.493331229,176.447661,158.4743361,5244680,FALSE,FALSE,FALSE,FALSE,,173.5399933,0,-3.699996948
2024/4/12,ABBV,164.4499969,164.4499969,160,162.2799988,7029400,175.1935013,5.715621783,186.6247448,163.7622577,6464615,FALSE,FALSE,FALSE,FALSE,,164.4499969,0,-3.550003052
2024/8/2,ABBV,190.9799957,193.9100037,186.4600067,189.2899933,6303900,176.1100014,7.849467545,191.8089365,160.4110663,5163410,FALSE,FALSE,FALSE,FALSE,,190.9799957,0,-7.529998779
2024/11/8,ABBV,201.1600037,201.8899994,199.4799957,199.5,4596900,193.8904991,5.915963013,205.7224251,182.0585731,5192230,FALSE,FALSE,FALSE,FALSE,,201.1600037,0,3.209991455
2024/11/19,ABBV,165.2700043,167.1000061,163.8099976,166.5700073,5246000,186.2509995,14.06058806,214.3721756,158.1298233,7184545,FALSE,FALSE,FALSE,FALSE,,165.2700043,0,-10.73999023
2021/2/4,ABNB,187.0700073,195.9900055,186.1900024,195.8000031,3631500,175.5585014,15.02449593,205.6074933,145.5095096,7083320,FALSE,FALSE,FALSE,FALSE,,187.0700073,0,15.52999878
2021/5/14,ABNB,137.6799927,142.25,131.6699982,141.1999969,20325400,162.512001,14.57671282,191.6654267,133.3585754,5654375,FALSE,FALSE,TRUE,FALSE,,137.6799927,0,-18.82000732
2021/9/1,ABNB,154.8399963,158.6399994,154.2899933,156.5899963,4324700,150.9199997,5.236252249,161.3925042,140.4474952,7105685,FALSE,FALSE,FALSE,FALSE,,154.8399963,0,3.92401123
2021/11/12,ABNB,192.4649963,208.1600037,192.0599976,206.5399933,12057800,179.3790001,12.97240813,205.3238163,153.4341838,6061350,FALSE,TRUE,FALSE,FALSE,,192.4649963,0,-6.315002441
2021/11/22,ABNB,190.4400024,190.7599945,176.7200012,181.7299957,12619800,188.2109993,14.37080035,216.9526,159.4693986,7408345,FALSE,FALSE,FALSE,FALSE,,190.4400024,0,15.75999451
2022/2/1,ABNB,155.3500061,157.3899994,152.5,156.9400024,3799300,156.9195007,9.654341581,176.2281839,137.6108176,5709270,FALSE,FALSE,FALSE,FALSE,,155.3500061,0,11.45001221
2022/2/24,ABNB,141.3000031,158.9600067,141.1799927,158.2599945,10354600,162.2785004,13.18192012,188.6423406,135.9146601,7244280,FALSE,FALSE,FALSE,FALSE,,141.3000031,0,36.99499512
2022/5/11,ABNB,114.5299988,123.7699966,112.3669968,116.1500015,13661400,150.9054996,17.1580639,185.2216274,116.5893719,7937790,TRUE,FALSE,TRUE,FALSE,,114.5299988,0,-38.02000427
2022/5/19,ABNB,108.1800003,116.3499985,107.4499969,114.1699982,8926600,135.4384991,19.02589729,173.4902937,97.38670448,9128280,FALSE,FALSE,FALSE,FALSE,,108.1800003,0,-5.480003357
2022/11/10,ABNB,100.9100037,102.5,99.04000092,102.4000015,7343000,108.2935001,9.677284832,127.6480698,88.93893047,7769330,FALSE,FALSE,FALSE,FALSE,,100.9100037,0,6.830001831
2023/1/23,ABNB,101.9899979,105.3799973,101.3499985,105.2200012,4442700,91.78699989,7.455339258,106.6976784,76.87632138,4901715,FALSE,FALSE,FALSE,FALSE,,101.9899979,0,-4.489997864
2023/2/6,ABNB,117.4100037,119.3339996,116.8099976,118.3499985,3204100,105.1569996,9.174060921,123.5051214,86.80887775,5492570,FALSE,FALSE,FALSE,FALSE,,117.4100037,0,-3.280006409
2023/2/24,ABNB,123.0400009,124.8499985,120.1910019,122.7799988,5119800,120.7779999,8.527078855,137.8321576,103.7238422,8515190,FALSE,FALSE,FALSE,FALSE,,123.0400009,0,12.60999298
2023/4/17,ABNB,115.4199982,116.1800003,114.5899963,116.1699982,3287100,117.4735001,3.966993646,125.4074874,109.5395128,4836215,FALSE,FALSE,FALSE,FALSE,,115.4199982,0,6.729995728
2023/5/11,ABNB,113.1399994,114.4599991,111.0400009,111.1999969,9579400,117.83675,4.116849612,126.0704493,109.6030508,7126180,FALSE,FALSE,FALSE,FALSE,,113.1399994,0,13.45999908
2023/5/22,ABNB,106.2600021,110.7300034,106.1999969,109.9300003,7350600,114.5290001,6.609450924,127.7479019,101.3100982,8321935,FALSE,FALSE,FALSE,FALSE,,106.2600021,0,1.200004578
2023/7/19,ABNB,145.75,147.6750031,144.1900024,145.5350037,4968600,133.0852509,7.552849677,148.1909502,117.9795515,4972020,FALSE,FALSE,FALSE,FALSE,,145.75,0,-6.399993896
2023/9/13,ABNB,146,147,143.6049957,144.7149963,7893300,133.8775009,8.558307847,150.9941166,116.7608852,6088675,FALSE,FALSE,FALSE,FALSE,,146,0,-5.220001221
2024/2/5,ABNB,146.0899963,146.3999939,142.6799927,144.7799988,3010900,142.212999,4.881457577,151.9759141,132.4500838,4262940,FALSE,FALSE,FALSE,FALSE,,146.0899963,0,3.910003662
2024/2/26,ABNB,149.9600067,150.1799927,148.5599976,149.2700043,5277900,149.5957504,3.664980957,156.9257123,142.2657885,6032595,FALSE,FALSE,FALSE,FALSE,,149.9600067,0,6.13999939
2024/5/17,ABNB,146.8099976,147.4949951,145.3049927,145.6600037,3279000,155.5110008,6.877981026,169.2669629,141.7550388,4513185,FALSE,FALSE,FALSE,FALSE,,146.8099976,0,-0.940002441
2024/8/1,ABNB,139.6999969,139.7799988,132.8999939,135.0899963,5166900,146.0049995,5.29569179,156.5963831,135.413616,3910960,FALSE,FALSE,FALSE,FALSE,,139.6999969,0,-1.550003052
2024/8/12,ABNB,115.4800034,115.5,113.2699966,113.6200027,3981000,135.5854996,13.11760673,161.820713,109.3502861,6149935,FALSE,FALSE,FALSE,FALSE,,115.4800034,0,-8.289993286
2024/9/25,ABNB,131.3099976,131.8999939,130.3000031,130.7100067,2310700,120.393,6.19328002,132.7795601,108.00644,4397985,FALSE,FALSE,FALSE,FALSE,,131.3099976,0,-8.989997864
2024/11/11,ABNB,136,139.1600037,135.1199951,137.3999939,6535100,136.4604996,3.256050633,142.9726008,129.9483983,4640990,FALSE,FALSE,FALSE,FALSE,,136,0,5.759994507
2020/3/4,ABT,80.66000366,82.33000183,79.45999908,82.08999634,8660000,85.53399963,4.400886036,94.33577171,76.73222756,6159300,FALSE,FALSE,FALSE,FALSE,,80.66000366,0,-1.469993591
2020/4/24,ABT,94.5,94.58000183,92.77999878,94.05999756,9016100,86.86950035,7.521078125,101.9116566,71.8273441,14259425,FALSE,FALSE,FALSE,FALSE,,94.5,0,2.949996948
